CUSTOM_ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_LABEL,GROUP_NAME,DATA_TYPE_CODE,DATA_TYPE_DESC,DATA_LENGTH,DEFAULT_VALUE,LOOKUP_CLASS,LOOKUP_RETURN,DOCUMENT_TYPE_CODE,ATTACHED_MODULE,IS_REQUIRED,ACTIVE_FLAG,AWARD_VALUE_ROWS,AWARD_DISTINCT_VALUES,PROPOSAL_VALUE_ROWS,PROPOSAL_DISTINCT_VALUES,SUBAWARD_VALUE_ROWS,SUBAWARD_DISTINCT_VALUES,NEGOTIATION_VALUE_ROWS,NEGOTIATION_DISTINCT_VALUES,DOC_VALUE_ROWS,DOC_DISTINCT_VALUES
1285,irb_auth_date,Authorization Date,Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,81
1240,irb_claim_date,Claim Date,Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,4342
1280,irb_date_of_closure,Date of Closure,Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,670
1230,irb_date_rec,Date Received,Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,5009
1250,irb_determination_date,Determination Date,Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,4746
1270,irb_new_date_of_exp,New Date of Expiration,Dates,3,Date,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,3348
1204,fac_review_1,Faculty Reviewer 1,General,1,String,,,org.kuali.coeus.common.framework.person.KcPerson,userName,PROT,,N,Y,0,0,0,0,0,0,0,0,25266,46
1205,fac_review_2,Faculty Reviewer 2,General,1,String,,,org.kuali.coeus.common.framework.person.KcPerson,userName,PROT,,N,Y,0,0,0,0,0,0,0,0,25266,38
1206,fac_review_3,Faculty Reviewer 3 (Non-Emp),General,1,String,,,org.kuali.coeus.common.framework.rolodex.Rolodex,rolodexId,PROT,,N,Y,0,0,0,0,0,0,0,0,23511,3
1541,financial_interest_research,Financial Interest in Research,General,1,String,3,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,22654,2
1542,has_participating_sites,Has Participating Sites,General,1,String,3,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,22654,2
1210,irb_advisor,Advisor,General,1,String,,,org.kuali.coeus.common.framework.person.KcPerson,userName,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,403
1211,irb_advisor_2,Advisor (Non-Emp),General,1,String,,,org.kuali.coeus.common.framework.rolodex.Rolodex,rolodexId,PROT,,N,Y,0,0,0,0,0,0,0,0,23511,5
1200,irb_analyst,Analyst,General,1,String,,,org.kuali.coeus.common.framework.person.KcPerson,userName,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,25
1220,irb_record_keeper_box,Record Keeper Box#,General,1,String,,,,,PROT,,N,Y,0,0,0,0,0,0,0,0,34280,251
