DOMAIN,TABLE_NAME,EXTRACT_TYPE,ROW_COUNT,COLUMN_COUNT,PRIMARY_KEY,LINEAGE_KEYS,CONTAINS_PII,NOTES
Proposal / pre-award,BUDGET_CHANGED_DATA,EMPTY,0,11,"PROPOSAL_NUMBER,COLUMN_NAME,CHANGE_NUMBER",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_COLUMNS_TO_ALTER,EMPTY,0,11,COLUMN_NAME,,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_DETAILS,SAMPLE,845780,29,BUDGET_DETAILS_ID,BUDGET_ID,N,
Proposal / pre-award,BUDGET_DETAILS_CAL_AMTS,SAMPLE,620219,16,BUDGET_DETAILS_CAL_AMTS_ID,BUDGET_ID,N,
Proposal / pre-award,BUDGET_DOCUMENT,SAMPLE,80256,8,DOCUMENT_NUMBER,DOCUMENT_NUMBER,N,
Proposal / pre-award,BUDGET_MODULAR,EMPTY,0,10,BUDGET_PERIOD_NUMBER,BUDGET_ID,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_MODULAR_IDC,EMPTY,0,16,"BUDGET_PERIOD_NUMBER,RATE_NUMBER",BUDGET_ID,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_PERIODS,SAMPLE,84965,19,BUDGET_PERIOD_NUMBER,BUDGET_ID,N,
Proposal / pre-award,BUDGET_PERIOD_TYPE,FULL,3,6,BUDGET_PERIOD_TYPE_CODE,,N,
Proposal / pre-award,BUDGET_PERSONNEL_CAL_AMTS,EMPTY,0,17,BUDGET_PERSONNEL_CAL_AMTS_ID,BUDGET_ID,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_PERSONNEL_DETAILS,EMPTY,0,29,BUDGET_PERSONNEL_DETAILS_ID,"SEQUENCE_NUMBER,PERSON_ID,BUDGET_ID",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_PERSONS,FULL,5230,18,"PERSON_SEQUENCE_NUMBER,BUDGET_ID","PERSON_ID,ROLODEX_ID,BUDGET_ID",Y,PII: send column structure + masked sample only
Proposal / pre-award,BUDGET_PERSON_SALARY_DETAILS,FULL,1583,10,BUDGET_PERSON_SALARY_DETAIL_ID,"PERSON_ID,BUDGET_ID",Y,PII: send column structure + masked sample only
Proposal / pre-award,BUDGET_PER_DET_RATE_AND_BASE,EMPTY,0,25,BGT_PER_DET_RATE_AND_BASE_ID,"PERSON_ID,BUDGET_ID",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_PROJECT_INCOME,EMPTY,0,14,"BUDGET_ID,PROJECT_INCOME_ID","PROPOSAL_NUMBER,BUDGET_ID",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_RATE_AND_BASE,SAMPLE,777643,22,BUDGET_RATE_AND_BASE_ID,BUDGET_ID,N,
Proposal / pre-award,BUDGET_STATUS,FULL,2,6,BUDGET_STATUS_CODE,,N,
Proposal / pre-award,BUDGET_SUB_AWARDS,EMPTY,0,21,"SUB_AWARD_NUMBER,BUDGET_ID","ORGANIZATION_ID,BUDGET_ID",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_SUB_AWARD_ATT,EMPTY,0,10,SUB_AWARD_ATTACHMENT_ID,BUDGET_ID,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_SUB_AWARD_FILES,EMPTY,0,9,"BUDGET_ID,SUB_AWARD_NUMBER",BUDGET_ID,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUDGET_SUB_AWARD_PERIOD_DETAIL,EMPTY,0,12,SUBAWARD_PERIOD_DETAIL_ID,BUDGET_ID,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,BUD_FORMULATED_COST_DETAIL,EMPTY,0,12,BUD_FORMULATED_COST_DETAIL_ID,,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROPOSAL,FULL,1,67,PROPOSAL_NUMBER,"PROPOSAL_NUMBER,DOCUMENT_NUMBER,SPONSOR_CODE,ORGANIZATION_ID",N,
Proposal / pre-award,EPS_PROPOSAL_BUDGET_EXT,EMPTY,0,6,BUDGET_ID,"PROPOSAL_NUMBER,BUDGET_ID",N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROPOSAL_DOCUMENT,FULL,1,6,DOCUMENT_NUMBER,DOCUMENT_NUMBER,N,
Proposal / pre-award,EPS_PROPOSAL_STATUS,FULL,7,4,STATUS_CODE,,N,
Proposal / pre-award,EPS_PROP_ABSTRACT,EMPTY,0,9,"PROPOSAL_NUMBER,ABSTRACT_TYPE_CODE",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_CFDA,EMPTY,0,8,EPS_PROP_CFDA_ID,PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
Proposal / pre-award,EPS_PROP_CHANGED_DATA,EMPTY,0,11,"PROPOSAL_NUMBER,COLUMN_NAME,CHANGE_NUMBER",PROPOSAL_NUMBER,N,"no rows in production; columns documented, no data file"
