DOMAIN,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,ORACLE_COLUMN_COMMENT,UI_FIELD_NAME,FIELD_DESCRIPTION,JAVA_OBJECT,JAVA_PROPERTY,LOOKUP_TABLE,LOOKUP_COLUMN,FIELD_ORIGIN,MAPPING_PRIORITY,EXTRACT_TYPE,CONTAINS_PII
Award,AWARD_STATUS,4,UPDATE_TIMESTAMP,DATE,N,,,,,org.kuali.kra.award.home.AwardStatus,updateTimestamp,,,LOOKUP_REFERENCE,NOT_FOR_HURON,FULL,N
Award,AWARD_STATUS,5,UPDATE_USER,VARCHAR2(60),N,,,,,org.kuali.kra.award.home.AwardStatus,updateUser,,,LOOKUP_REFERENCE,NOT_FOR_HURON,FULL,N
Award,AWARD_STATUS,6,OBJ_ID,VARCHAR2(36),N,,,,,org.kuali.kra.award.home.AwardStatus,objectId,,,LOOKUP_REFERENCE,NOT_FOR_HURON,FULL,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,1,AWARD_NUMBER,VARCHAR2(12),N,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,2,LARGE_BUSINESS_AMT_G,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,3,SMALL_BUSINESS_AMT_G,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,4,WOMAN_OWNED_AMT_G,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,5,A8_DISADVANTAGE_AMT_G,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,6,HUB_ZONE_AMT_G,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,7,VETERAN_OWNED_AMT_G,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,8,SVC_DISABLED_VET_OWNED_AMT_G,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,9,HISTORIC_BLACK_COLLEGE_AMT_G,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,10,LARGE_BUSINESS_AMT,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,11,SMALL_BUSINESS_AMT,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,12,WOMAN_OWNED_AMT,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,13,A8_DISADVANTAGE_AMT,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
Award,AWARD_SUBCONTRACT_GOALS_EXP,14,HUB_ZONE_AMT,"NUMBER(12,2)",Y,,,,,,,,,,,EMPTY,N
